PartitionKey,RowKey,Column1,Column2,Column3,Column4,Column5,Column6,Column7
Wheat & Rye (Bread),Food,0.71,0.79,1.57,1.27,2.31,3.07,1000kcal
Maize (Meal),Food,0.66,0.73,1.7,1.18,2.31,3.52,1000kcal
Barley (Beer),Food,0.59,0.7,1.18,1.18,1.64,1.77,1 Unit
Oatmeal,Food,0.8,0.85,2.48,2.59,4.08,4.3,1000kcal
Rice,Food,1.15,1.46,4.45,3.73,8.77,10.26,1000kcal
Potatoes,Food,0.09,0.16,0.46,0.47,0.63,0.7,1000kcal
Cassava,Food,0.26,0.35,1.32,1.05,2.11,2.24,1000kcal
Cane Sugar,Food,0.62,0.92,3.2,3.17,5.1,5.59,1kg
Beet Sugar,Food,1.01,1.21,1.81,1.76,2.42,2.64,1kg
Other Pulses,Food,0.89,0.98,1.79,1.39,3.75,4,100g 
Peas,Food,0.51,0.56,0.98,0.8,1.67,1.87,100g 
Nuts,Food,-4.02,-3.65,0.43,-1.33,3.84,10.79,100g 
Groundnuts,Food,1.42,1.63,3.23,3.29,5.81,6.15,100g 
Soymilk,Food,0.51,0.58,0.98,0.91,1.47,1.74,100g 
Tofu,Food,1.41,1.6,3.16,2.58,5.55,7.27,100g 
Soybean Oil,Food,2.16,2.43,6.32,3.87,13.44,18.8,1 Litre
Palm Oil,Food,2.78,3.61,7.32,7.19,12.04,13.07,1 Litre
Sunflower Oil,Food,2.17,2.46,3.6,3.53,4.58,4.94,1 Litre
Rapeseed Oil,Food,2.23,2.5,3.77,3.52,4.64,7.18,1 Litre
Olive Oil,Food,2.13,2.86,5.42,5.09,7.63,10.79,1 Litre
Tomatoes,Food,0.37,0.39,2.09,0.65,5.95,12.62,1kg
Onions & Leeks,Food,0.28,0.3,0.5,0.41,0.79,0.82,1kg
Root Vegetables,Food,0.21,0.24,0.43,0.4,0.56,0.61,1kg
Brassicas,Food,0.21,0.23,0.51,0.35,0.97,1.24,1kg
Other Vegetables,Food,0.21,0.23,0.53,0.42,0.97,1.13,1kg
Citrus Fruit,Food,0.01,0.08,0.39,0.34,0.56,0.66,1kg
Bananas,Food,0.56,0.61,0.86,0.83,1.18,1.3,1kg
Apples,Food,0.26,0.29,0.43,0.42,0.57,0.6,1kg
Berries & Grapes,Food,0.64,0.77,1.53,1.39,2.67,2.91,1kg
Wine,Food,0.74,0.91,1.79,1.59,2.65,4.68,1kg
Other Fruit,Food,0.27,0.35,1.05,0.72,2.93,2.96,1kg
Coffee,Food,4.35,5.2,28.53,8.15,84.85,85.74,Serving
Dark Chocolate,Food,-3.95,-0.1,46.65,4.95,134.7,257.48,Serving
Bovine Meat (beef herd),Food,37.57,40.37,99.48,60.36,209.85,269.19,100g 
Bovine Meat (dairy herd),Food,14.93,17.94,33.3,34.14,50.9,56.68,100g 
Lamb & Mutton,Food,23.7,24.52,39.72,40.61,54.44,60.16,100g 
Pig Meat,Food,6.91,7.41,12.31,10.57,22.26,23.79,100g 
Poultry Meat,Food,3.95,4.18,9.87,7.52,20.12,20.82,100g 
Milk,Food,1.51,1.7,3.15,2.65,4.83,7,100g 
Cheese,Food,10.21,10.92,23.88,18.64,39.32,58.79,100g 
Eggs,Food,2.85,2.93,4.67,4.21,8.39,8.49,100g 
Fish (farmed),Food,5.41,5.65,13.63,7.89,26.51,32.64,100g 
Crustaceans (farmed),Food,7.41,8.04,26.87,14.71,52.12,115.09,100g 